B	128					
0.00 	9.00 	15.00 	-0.730515818	-0.797791437	-0.597048727	1	0.5
0.00 	10.50 	0.00 	-0.429682171	0.40501604	-0.035460993	1	0.5
0.00 	10.50 	1.50 	0.594610985	-0.49305071	0.727464121	1	0.5
0.00 	10.50 	3.00 	-0.106828471	-0.777111681	-0.339064781	1	0.5
0.00 	10.50 	4.50 	-0.192642494	-0.536188141	0.91163861	1	0.5
0.00 	10.50 	6.00 	0.080584549	0.113379606	-0.724499512	1	0.5
0.00 	10.50 	7.50 	0.828035084	0.170763079	-0.067608165	1	0.5
0.00 	10.50 	9.00 	-0.445100723	0.422105631	0.564926817	1	0.5
0.00 	10.50 	10.50 	-0.539996304	0.264955868	0.266980176	1	0.5
0.00 	10.50 	12.00 	-0.269902486	-0.663483345	0.02064182	1	0.5
0.00 	10.50 	13.50 	-0.24006636	-0.876894524	-0.502705925	1	0.5
0.00 	10.50 	15.00 	-0.937756865	-0.069181086	0.901460937	1	0.5
0.00 	12.00 	0.00 	-0.670953325	-0.254871423	-0.683600977	1	0.5
0.00 	12.00 	1.50 	0.023062838	-0.964403227	0.354420612	1	0.5
0.00 	12.00 	3.00 	-0.637216716	-0.982088086	0.436572075	1	0.5
0.00 	12.00 	4.50 	0.525928111	-0.158723436	0.90395606	1	0.5
0.00 	12.00 	6.00 	0.126500827	0.245329136	0.207248939	1	0.5
0.00 	12.00 	7.50 	-0.073896398	0.020288434	0.636482961	1	0.5
0.00 	12.00 	9.00 	-0.877337057	0.147690616	-0.833191108	1	0.5
0.00 	12.00 	10.50 	0.252373143	0.402574385	0.529520601	1	0.5
0.00 	12.00 	12.00 	-0.677146694	0.398784683	0.412994864	1	0.5
0.00 	12.00 	13.50 	-0.497589757	-0.020193371	0.080273766	1	0.5
0.00 	12.00 	15.00 	-0.862896529	-0.085014769	-0.550489094	1	0.5
0.00 	13.50 	0.00 	0.500472732	-0.669864069	-0.392346511	1	0.5
0.00 	13.50 	1.50 	-0.68502763	-0.238549305	0.752802387	1	0.5
0.00 	13.50 	3.00 	-0.916984247	-0.497754805	-0.927381077	1	0.5
0.00 	13.50 	4.50 	-0.700747195	-0.75883381	0.027774347	1	0.5
0.00 	13.50 	6.00 	-0.56955786	-0.822813239	0.040900729	1	0.5
0.00 	13.50 	7.50 	-0.679332918	0.768530583	0.965084347	1	0.5
0.00 	13.50 	9.00 	-0.794766857	-0.987990314	-0.124887443	1	0.5
0.00 	13.50 	10.50 	0.248710809	0.312505059	-0.348191825	1	0.5
0.00 	13.50 	12.00 	0.451922979	0.139182018	0.474038966	1	0.5
0.00 	13.50 	13.50 	0.346285277	0.776243076	0.251894048	1	0.5
0.00 	13.50 	15.00 	0.504577823	-0.808336414	0.444550215	1	0.5
0.00 	15.00 	0.00 	-0.570478196	0.483571163	-0.374311312	1	0.5
0.00 	15.00 	1.50 	0.160895888	0.064873064	-0.081848115	1	0.5
0.00 	15.00 	3.00 	0.745319438	0.034191376	-0.55602726	1	0.5
0.00 	15.00 	4.50 	-0.52953218	-0.213814121	-0.564684361	1	0.5
0.00 	15.00 	6.00 	0.87484365	0.623044327	-0.917590369	1	0.5
0.00 	15.00 	7.50 	-0.492175605	0.753461768	0.620464333	1	0.5
0.00 	15.00 	9.00 	0.773653537	0.738799204	0.303122638	1	0.5
0.00 	15.00 	10.50 	0.042957994	0.184584725	0.860913345	1	0.5
0.00 	15.00 	12.00 	-0.531602692	-0.423217727	-0.000112203	1	0.5
0.00 	15.00 	13.50 	-0.846289684	0.595952343	0.024073325	1	0.5
0.00 	15.00 	15.00 	-0.703494424	-0.285474754	0.281451945	1	0.5
1.50 	0.00 	0.00 	0.680568425	-0.404784402	0.162746169	1	0.5
1.50 	0.00 	1.50 	-0.841022096	-0.171551468	-0.65118082	1	0.5
1.50 	0.00 	3.00 	0.456612181	0.696543196	0.633770181	1	0.5
1.50 	0.00 	4.50 	0.54604969	-0.664409801	0.302175501	1	0.5
1.50 	0.00 	6.00 	-0.464125972	0.133027797	0.870942542	1	0.5
1.50 	0.00 	7.50 	0.952111062	0.818603506	0.038827361	1	0.5
1.50 	0.00 	9.00 	0.943143832	0.923155907	-0.933944631	1	0.5
